Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 5,RFA_21,GW Chi Square - GW Squared Gini,2.58420330010936,29,0.00753153631247,2.5766849063948722,29,0.00766543771147,0.0,100.0,29
KDD98 Multiclass 5,FISHER,GW Chi Square - GW Squared Gini,0.0,12,100.0,0.0,12,100.0,0.0,100.0,12
Cover Type with Aggreg,wilderness_area_2,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,wilderness_area_4,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_23,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_8,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_26,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_6,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_32,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_11,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_14,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_4,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_17,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_38,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_aggreg,GW Chi Square - GW Squared Gini,-7.581332242019181,29,0.999999988316,-7.581335476533358,29,0.999999988316,0.0,0.5,29
Cover Type with Aggreg,soil_type_20,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_5,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_35,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_12,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_24,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_18,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_16,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_19,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_37,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_9,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_13,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_31,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_3,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_40,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_30,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_33,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,wilderness_area_aggreg,GW Chi Square - GW Squared Gini,350.30685653104825,29,0.0,350.30685653104825,29,0.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_36,GW Chi Square - GW Squared Gini,0.0,10,100.0,0.0,10,100.0,0.0,100.0,10
Cover Type with Aggreg,soil_type_10,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_21,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_2,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_1,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_25,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,wilderness_area_3,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_29,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_34,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
